column_name,column_role,available_as_of,source_or_formula,allowed_for_future_feature_analysis,reason
recognition_score,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column recognition_score,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
break_open,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_open,True,"D1 时点已知, 允许进入未来因子分析候选"
break_high,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_high,True,"D1 时点已知, 允许进入未来因子分析候选"
break_low,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_low,True,"D1 时点已知, 允许进入未来因子分析候选"
break_close,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_close,True,"D1 时点已知, 允许进入未来因子分析候选"
break_prev_close,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_prev_close,True,"D1 时点已知, 允许进入未来因子分析候选"
break_open_return,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_open_return,True,"D1 时点已知, 允许进入未来因子分析候选"
break_high_return,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_high_return,True,"D1 时点已知, 允许进入未来因子分析候选"
break_close_return,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_close_return,True,"D1 时点已知, 允许进入未来因子分析候选"
break_intraday_range,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_intraday_range,True,"D1 时点已知, 允许进入未来因子分析候选"
break_high_to_close_drawdown,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_high_to_close_drawdown,True,"D1 时点已知, 允许进入未来因子分析候选"
break_upper_shadow_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_upper_shadow_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
break_lower_shadow_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_lower_shadow_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
break_close_location,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_close_location,True,"D1 时点已知, 允许进入未来因子分析候选"
break_volume,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_volume,True,"D1 时点已知, 允许进入未来因子分析候选"
break_amount,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_amount,True,"D1 时点已知, 允许进入未来因子分析候选"
break_volume_ratio_vs_board_days,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_volume_ratio_vs_board_days,True,"D1 时点已知, 允许进入未来因子分析候选"
break_amount_ratio_vs_board_days,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_amount_ratio_vs_board_days,True,"D1 时点已知, 允许进入未来因子分析候选"
break_turnover_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_turnover_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
break_touched_limit_up,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_touched_limit_up,True,"D1 时点已知, 允许进入未来因子分析候选"
break_opened_from_limit_up,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_opened_from_limit_up,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_open,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_open,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_high,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_high,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_low,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_low,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_volume,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_volume,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_amount,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_amount,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_ma5,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_ma5,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_ma10,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_ma10,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_ma20,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_ma20,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close_to_ma5_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_to_ma5_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_low_to_ma5_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_low_to_ma5_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_high_to_ma5_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_high_to_ma5_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close_to_ma10_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_to_ma10_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_low_to_ma10_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_low_to_ma10_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close_to_ma20,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_to_ma20,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_ma5_slope,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_ma5_slope,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_ma10_slope,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_ma10_slope,True,"D1 时点已知, 允许进入未来因子分析候选"
deprecated_d1_reclaimed_ma5_v01,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column deprecated_d1_reclaimed_ma5_v01,True,"D1 时点已知, 允许进入未来因子分析候选"
deprecated_d1_reclaimed_ma10_v01,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column deprecated_d1_reclaimed_ma10_v01,True,"D1 时点已知, 允许进入未来因子分析候选"
consecutive_days_below_ma5,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column consecutive_days_below_ma5,True,"D1 时点已知, 允许进入未来因子分析候选"
consecutive_days_below_ma10,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column consecutive_days_below_ma10,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_open_to_close_return_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_open_to_close_return_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_low_to_close_recovery,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_low_to_close_recovery,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_high_to_close_drawdown_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_high_to_close_drawdown_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close_location,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_location,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_vwap,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_vwap,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close_to_vwap_raw,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_to_vwap_raw,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_intraday_range,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_intraday_range,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_afternoon_return,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_afternoon_return,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_last_hour_return,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_last_hour_return,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_up_bar_volume_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_up_bar_volume_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_down_bar_volume_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_down_bar_volume_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
volume_above_d1_close_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column volume_above_d1_close_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
amount_above_d1_close_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column amount_above_d1_close_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
volume_above_break_close_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column volume_above_break_close_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
high_zone_volume_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column high_zone_volume_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
high_zone_amount_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column high_zone_amount_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
late_day_sell_volume_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column late_day_sell_volume_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
late_day_sell_amount_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column late_day_sell_amount_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
down_bar_volume_ratio,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column down_bar_volume_ratio,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_vwap_to_close_gap,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_vwap_to_close_gap,True,"D1 时点已知, 允许进入未来因子分析候选"
is_v004a_scorable,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v004a_scorable,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
v004a_probability,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column v004a_probability,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
v004a_rank,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column v004a_rank,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
is_v004a_top3,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v004a_top3,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
is_v004a_top10,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v004a_top10,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
is_v004a_top15,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v004a_top15,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
is_v002_scorable,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v002_scorable,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
v002_rank,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column v002_rank,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
is_v002_top3,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v002_top3,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
is_v002_top10,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v002_top10,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
is_v002_top15,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column is_v002_top15,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
d2_trade_date,outcome_audit,POST_D3,"标签口径 D2 交易日 (5min 序列, 分钟标签审计用)",False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_trade_date,outcome_audit,POST_D3,"标签口径 D3 交易日 (5min 序列, 分钟标签审计用)",False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2_open,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2_open,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2_high,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2_high,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2_low,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2_low,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2_close,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2_close,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_high,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d3_high,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_low,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d3_low,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_close,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d3_close,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2open_to_d3high_return,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2open_to_d3high_return,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2open_to_d3close_return,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2open_to_d3close_return,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
target7_d2open_d3high,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column target7_d2open_d3high,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
tail_loss_5pct,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column tail_loss_5pct,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
future_data_status,data_quality,POST_D3,copied unchanged from source v0.2.2 column future_data_status,False,"溯源/质量元数据, 不作为特征"
last_board_date,identifier,D1_CLOSE,"D0 最后连板日 (断板前最后一个交易日, v0.2.2 来源)",False,"身份或绝对日期字段, 不作为特征"
break_day_in_pool,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column break_day_in_pool,True,"D1 时点已知, 允许进入未来因子分析候选"
last_board_day_in_pool,d0_feature,D0_CLOSE,copied unchanged from source v0.2.2 column last_board_day_in_pool,True,"D1 时点已知, 允许进入未来因子分析候选"
pool_consecutive_count_last_board,d0_feature,D0_CLOSE,copied unchanged from source v0.2.2 column pool_consecutive_count_last_board,True,"D1 时点已知, 允许进入未来因子分析候选"
v004a_score_source,existing_model_audit,D1_CLOSE,copied unchanged from source v0.2.2 column v004a_score_source,False,"现有模型结果只用于独立增量审计, 不得成为 v004c 输入因子"
stage_group,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column stage_group,False,"溯源/质量元数据, 不作为特征"
post_day,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column post_day,False,"溯源/质量元数据, 不作为特征"
training_stage_feature,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column training_stage_feature,False,"溯源/质量元数据, 不作为特征"
d1_bar_count,data_quality,D1_CLOSE,copied unchanged from source v0.2.2 column d1_bar_count,False,"溯源/质量元数据, 不作为特征"
d2_bar_count,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_bar_count,False,"溯源/质量元数据, 不作为特征"
d3_bar_count,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_bar_count,False,"溯源/质量元数据, 不作为特征"
d1_first_bar_time,data_quality,D1_CLOSE,copied unchanged from source v0.2.2 column d1_first_bar_time,False,"溯源/质量元数据, 不作为特征"
d2_first_bar_time,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_first_bar_time,False,"溯源/质量元数据, 不作为特征"
d3_first_bar_time,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_first_bar_time,False,"溯源/质量元数据, 不作为特征"
d1_last_bar_time,data_quality,D1_CLOSE,copied unchanged from source v0.2.2 column d1_last_bar_time,False,"溯源/质量元数据, 不作为特征"
d2_last_bar_time,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_last_bar_time,False,"溯源/质量元数据, 不作为特征"
d3_last_bar_time,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_last_bar_time,False,"溯源/质量元数据, 不作为特征"
d1_expected_bar_count,data_quality,D1_CLOSE,copied unchanged from source v0.2.2 column d1_expected_bar_count,False,"溯源/质量元数据, 不作为特征"
d2_expected_bar_count,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_expected_bar_count,False,"溯源/质量元数据, 不作为特征"
d3_expected_bar_count,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_expected_bar_count,False,"溯源/质量元数据, 不作为特征"
d1_minute_complete,data_quality,D1_CLOSE,copied unchanged from source v0.2.2 column d1_minute_complete,False,"溯源/质量元数据, 不作为特征"
d2_minute_complete,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_minute_complete,False,"溯源/质量元数据, 不作为特征"
d3_minute_complete,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_minute_complete,False,"溯源/质量元数据, 不作为特征"
d2_daily_minute_open_diff,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_daily_minute_open_diff,False,"溯源/质量元数据, 不作为特征"
d3_daily_minute_high_diff,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_daily_minute_high_diff,False,"溯源/质量元数据, 不作为特征"
d3_daily_minute_close_diff,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_daily_minute_close_diff,False,"溯源/质量元数据, 不作为特征"
expected_d2_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column expected_d2_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
actual_d2_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column actual_d2_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
expected_d3_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column expected_d3_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
actual_d3_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column actual_d3_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2_date_shift_reason,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_date_shift_reason,False,"溯源/质量元数据, 不作为特征"
d3_date_shift_reason,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_date_shift_reason,False,"溯源/质量元数据, 不作为特征"
suspension_proof_status,data_quality,POST_D3,copied unchanged from source v0.2.2 column suspension_proof_status,False,"溯源/质量元数据, 不作为特征"
label_quality_ok,data_quality,POST_D3,copied unchanged from source v0.2.2 column label_quality_ok,False,"溯源/质量元数据, 不作为特征"
label_quality_reason,data_quality,POST_D3,copied unchanged from source v0.2.2 column label_quality_reason,False,"溯源/质量元数据, 不作为特征"
target_quality_ok,data_quality,POST_D3,copied unchanged from source v0.2.2 column target_quality_ok,False,"溯源/质量元数据, 不作为特征"
tail_label_quality_ok,data_quality,POST_D3,copied unchanged from source v0.2.2 column tail_label_quality_ok,False,"溯源/质量元数据, 不作为特征"
sample_role,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column sample_role,False,"溯源/质量元数据, 不作为特征"
sample_role_reason,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column sample_role_reason,False,"溯源/质量元数据, 不作为特征"
d1_close_above_ma5,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_above_ma5,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close_above_ma10,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_above_ma10,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_true_reclaim_ma5,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_true_reclaim_ma5,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_true_reclaim_ma10,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_true_reclaim_ma10,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_close_to_ma5_bucket,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_close_to_ma5_bucket,True,"D1 时点已知, 允许进入未来因子分析候选"
d1_open_to_close_bucket,d1_feature,D1_CLOSE,copied unchanged from source v0.2.2 column d1_open_to_close_bucket,True,"D1 时点已知, 允许进入未来因子分析候选"
event_observation_count,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column event_observation_count,False,"溯源/质量元数据, 不作为特征"
signal_date_candidate_count,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column signal_date_candidate_count,False,"溯源/质量元数据, 不作为特征"
proposed_training_weight,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column proposed_training_weight,False,"溯源/质量元数据, 不作为特征"
d2_open_daily,label,D3_CLOSE,标签: D2 日线 open (未复权 daily OHLC),False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_high_daily,label,D3_CLOSE,标签: D3 日线 high (未复权 daily OHLC),False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_close_daily,label,D3_CLOSE,copied unchanged from source v0.2.2 column d3_close_daily,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
daily_d2open_to_d3high_return,label,D3_CLOSE,标签: d3_high_daily / d2_open_daily - 1,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
daily_d2open_to_d3close_return,label,D3_CLOSE,copied unchanged from source v0.2.2 column daily_d2open_to_d3close_return,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
target7_daily_d2open_d3high,label,D3_CLOSE,标签: daily_d2open_to_d3high_return >= 0.07 (严格二元),False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
tail_loss_daily_5pct,label,D3_CLOSE,copied unchanged from source v0.2.2 column tail_loss_daily_5pct,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
actual_daily_d2_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column actual_daily_d2_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
actual_daily_d3_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column actual_daily_d3_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2_daily_date_shift_reason,data_quality,POST_D3,copied unchanged from source v0.2.2 column d2_daily_date_shift_reason,False,"溯源/质量元数据, 不作为特征"
d3_daily_date_shift_reason,data_quality,POST_D3,copied unchanged from source v0.2.2 column d3_daily_date_shift_reason,False,"溯源/质量元数据, 不作为特征"
suspension_proof_status_daily,data_quality,POST_D3,copied unchanged from source v0.2.2 column suspension_proof_status_daily,False,"溯源/质量元数据, 不作为特征"
daily_label_quality_ok,data_quality,POST_D3,"D1/D2/D3 日线标签质量门 (日期可解析且价格有效, 严格二元)",False,"溯源/质量元数据, 不作为特征"
daily_label_quality_reason,data_quality,POST_D3,copied unchanged from source v0.2.2 column daily_label_quality_reason,False,"溯源/质量元数据, 不作为特征"
audit_minute_d2_open,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column audit_minute_d2_open,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
audit_minute_d3_high,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column audit_minute_d3_high,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
audit_minute_d3_close,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column audit_minute_d3_close,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
audit_minute_target7,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column audit_minute_target7,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
audit_minute_tail_loss,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column audit_minute_tail_loss,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
audit_minute_d2open_to_d3high_return,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column audit_minute_d2open_to_d3high_return,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
audit_minute_d2open_to_d3close_return,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column audit_minute_d2open_to_d3close_return,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
target_label_daily_vs_minute_same,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column target_label_daily_vs_minute_same,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
tail_label_daily_vs_minute_same,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column tail_label_daily_vs_minute_same,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d2_open_daily_minus_minute,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2_open_daily_minus_minute,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_high_daily_minus_minute,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d3_high_daily_minus_minute,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_close_daily_minus_minute,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d3_close_daily_minus_minute,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
target_return_daily_minus_minute,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column target_return_daily_minus_minute,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
close_return_daily_minus_minute,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column close_return_daily_minus_minute,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d1_factor_quality_ok,data_quality,D1_CLOSE,copied unchanged from source v0.2.2 column d1_factor_quality_ok,False,"溯源/质量元数据, 不作为特征"
target_training_eligible,data_quality,POST_D3,copied unchanged from source v0.2.2 column target_training_eligible,False,"溯源/质量元数据, 不作为特征"
