feature_name,allowlist_tier,mechanism_group,selected_any_model,selected_models,boundary_status,boundary_note
d1_close_to_ma5_raw,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_low_to_ma5_raw,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_high_to_ma5_raw,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_close_to_ma10_raw,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_low_to_ma10_raw,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_close_to_ma20,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_ma5_slope,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_ma10_slope,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_open_to_close_return_raw,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_low_to_close_recovery,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_high_to_close_drawdown_raw,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_close_to_vwap_raw,PRIMARY,D1_VWAP_POSITION,True,M1,SELECTED_FIXED,候选成员在六月开发审查后人工固定
d1_intraday_range,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_afternoon_return,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_last_hour_return,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_up_bar_volume_ratio,PRIMARY,D1_VOLUME_ACTIVITY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
volume_above_d1_close_ratio,PRIMARY,D1_CHIP_DISTRIBUTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
high_zone_volume_ratio,PRIMARY,D1_CHIP_DISTRIBUTION,True,M1,SELECTED_FIXED,候选成员在六月开发审查后人工固定
late_day_sell_volume_ratio,PRIMARY,D1_LATE_DAY_PRESSURE,True,M1|M3,SELECTED_FIXED,候选成员在六月开发审查后人工固定
down_bar_volume_ratio,PRIMARY,D1_VOLUME_ACTIVITY,True,M1|M2,SELECTED_FIXED,候选成员在六月开发审查后人工固定
break_day_in_pool,PRIMARY,POOL_MEMBERSHIP,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_true_reclaim_ma5,PRIMARY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
board_streak_is_3,PRIMARY,PREDECLARED_DERIVED,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
ma5_overheat_10,PRIMARY,PREDECLARED_DERIVED,True,M3,SELECTED_FIXED,候选成员在六月开发审查后人工固定
overrepair,PRIMARY,PREDECLARED_DERIVED,True,M3,SELECTED_FIXED,候选成员在六月开发审查后人工固定
break_volume_abnormality,PRIMARY,PREDECLARED_DERIVED,True,M3,SELECTED_FIXED,候选成员在六月开发审查后人工固定
profit_chip_ratio,PRIMARY,PREDECLARED_DERIVED,True,M3,SELECTED_FIXED,候选成员在六月开发审查后人工固定
profit_pressure,PRIMARY,PREDECLARED_DERIVED,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
board_day_amount_rank,SENSITIVITY,D0_CROSS_SECTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
board_day_turnover_rank,SENSITIVITY,D0_CROSS_SECTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
board_day_volume_rank,SENSITIVITY,D0_CROSS_SECTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_upper_shadow_ratio,SENSITIVITY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_lower_shadow_ratio,SENSITIVITY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_amount_ratio_vs_board_days,SENSITIVITY,D1_VOLUME_ACTIVITY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_opened_from_limit_up,SENSITIVITY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
consecutive_days_below_ma5,SENSITIVITY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
consecutive_days_below_ma10,SENSITIVITY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_close_location,SENSITIVITY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
amount_above_d1_close_ratio,SENSITIVITY,D1_CHIP_DISTRIBUTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
high_zone_amount_ratio,SENSITIVITY,D1_CHIP_DISTRIBUTION,True,M2,SELECTED_FIXED,候选成员在六月开发审查后人工固定
late_day_sell_amount_ratio,SENSITIVITY,D1_LATE_DAY_PRESSURE,True,M2,SELECTED_FIXED,候选成员在六月开发审查后人工固定
d1_vwap_to_close_gap,SENSITIVITY,D1_VWAP_POSITION,True,M2,SELECTED_FIXED,候选成员在六月开发审查后人工固定
last_board_day_in_pool,SENSITIVITY,POOL_MEMBERSHIP,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
pool_consecutive_count_last_board,SENSITIVITY,POOL_MEMBERSHIP,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_close_above_ma5,SENSITIVITY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_close_above_ma10,SENSITIVITY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_true_reclaim_ma10,SENSITIVITY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_close_to_ma5_bucket,SENSITIVITY,D1_MA_POSITION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
d1_open_to_close_bucket,SENSITIVITY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
