feature_name,found_in,historical_role,semantic_group,raw_or_derived,raw_dependencies,formula_or_definition,lookback,available_as_of,source_system,current_may_coverage,current_june_coverage,combined_coverage,structural_missing_possible,future_leakage,model_output_leakage,target_lineage_leakage,exact_duplicate_group,semantic_duplicate_group,pairwise_v1_decision,decision_reason
break_touched_limit_up,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 盘中触板事件 (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_high;d0_close,"1[d1_high >= round(d0_close*1.10, 2) - 0.011]",D1 intraday,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 盘中触板事件 (模型表 PRIMARY)
break_opened_from_limit_up,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 开在涨停 (模型表 SENSITIVITY),D1_PRICE_ACTION,derived,d1_open;d0_close,"1[d1_open >= round(d0_close*1.10, 2) - 0.011]",D1 intraday,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 开在涨停 (模型表 SENSITIVITY)
break_upper_shadow_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 上影线占比 (模型表 SENSITIVITY),D1_PRICE_ACTION,derived,d1_open;d1_high;d1_low;d1_close,"(d1_high - max(d1_open, d1_close)) / (d1_high - d1_low)",D1 intraday,D1_CLOSE,daily_cache_rebuild,1.0,0.9942196531791907,0.9968652037617555,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 上影线占比 (模型表 SENSITIVITY)
break_lower_shadow_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 下影线占比 (模型表 SENSITIVITY),D1_PRICE_ACTION,derived,d1_open;d1_high;d1_low;d1_close,"(min(d1_open, d1_close) - d1_low) / (d1_high - d1_low)",D1 intraday,D1_CLOSE,daily_cache_rebuild,1.0,0.9942196531791907,0.9968652037617555,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 下影线占比 (模型表 SENSITIVITY)
d1_high_to_close_drawdown_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 日内冲高回落 (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_high;d1_close,(d1_high - d1_close) / d1_high,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 日内冲高回落 (模型表 PRIMARY)
d1_low_to_close_recovery,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 低点回收强度 (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_low;d1_close,(d1_close - d1_low) / d1_low,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 低点回收强度 (模型表 PRIMARY)
d1_open_to_close_return_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 当日 open->close (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_open;d1_close,d1_close / d1_open - 1,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 当日 open->close (模型表 PRIMARY)
d1_close_location,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 收盘日内位置; 官方公式分母 0 -> None (允许),D1_PRICE_ACTION,derived,d1_low;d1_high;d1_close,(d1_close - d1_low) / (d1_high - d1_low),D1 intraday,D1_CLOSE,v002,1.0,0.9942196531791907,0.9968652037617555,yes,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 收盘日内位置; 官方公式分母 0 -> None (允许)
d1_intraday_range,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 振幅 (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_high;d1_low;d0_close,(d1_high - d1_low) / d0_close,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 振幅 (模型表 PRIMARY)
d1_afternoon_return,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),午后段收益 (模型表 PRIMARY),D1_PRICE_ACTION,derived,5min OHLCVA,d1_close / 13:00 前最后 bar close - 1,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,午后段收益 (模型表 PRIMARY)
d1_last_hour_return,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),尾盘 1 小时收益 (模型表 PRIMARY),D1_PRICE_ACTION,derived,5min OHLCVA,d1_close / 14:00 bar close - 1,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,尾盘 1 小时收益 (模型表 PRIMARY)
break_volume_ratio_vs_board_days,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 相对本轮连板量能放大 (ME01 canonical),D1_VOLUME_ACTIVITY,derived,d1_volume;board 日 daily volume,d1_volume / mean(board 日 volume),D1 + board days,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,D1_VOLUME_ACTIVITY,FEATURE,D1 相对本轮连板量能放大 (ME01 canonical)
d1_up_bar_volume_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),阳线量占比 (模型表 PRIMARY),D1_VOLUME_ACTIVITY,derived,5min OHLCVA,Σvolume(bar close>open) / Σvolume,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_VOLUME_ACTIVITY,FEATURE,阳线量占比 (模型表 PRIMARY)
down_bar_volume_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"阴线量占比 (canonical 名, 模型表 PRIMARY)",D1_VOLUME_ACTIVITY,derived,5min OHLCVA,Σvolume(bar close<open) / Σvolume,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_VOLUME_ACTIVITY,FEATURE,"阴线量占比 (canonical 名, 模型表 PRIMARY)"
volume_above_d1_close_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"收盘上方量占比 (ME02 canonical, 模型表 PRIMARY)",D1_CHIP_DISTRIBUTION,derived,5min OHLCVA,Σvolume(bar close >= d1_close) / Σvolume,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_CHIP_DISTRIBUTION,FEATURE,"收盘上方量占比 (ME02 canonical, 模型表 PRIMARY)"
amount_above_d1_close_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),ME02 金额替代表达 (模型表 SENSITIVITY),D1_CHIP_DISTRIBUTION,derived,5min OHLCVA,Σamount(bar close >= d1_close) / Σamount,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_CHIP_DISTRIBUTION,FEATURE,ME02 金额替代表达 (模型表 SENSITIVITY)
high_zone_volume_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"高位区量占比 (ME03 canonical, 模型表 PRIMARY)",D1_CHIP_DISTRIBUTION,derived,5min OHLCVA,Σvolume(bar close >= d1_low + 0.7*(d1_high-d1_low)) / Σvolume,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_CHIP_DISTRIBUTION,FEATURE,"高位区量占比 (ME03 canonical, 模型表 PRIMARY)"
high_zone_amount_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),ME03 金额替代表达 (模型表 SENSITIVITY),D1_CHIP_DISTRIBUTION,derived,5min OHLCVA,Σamount(bar close >= d1_low + 0.7*(d1_high-d1_low)) / Σamount,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_CHIP_DISTRIBUTION,FEATURE,ME03 金额替代表达 (模型表 SENSITIVITY)
late_day_sell_volume_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"尾盘下跌量占比 (ME04 canonical, 模型表 PRIMARY)",D1_LATE_DAY_PRESSURE,derived,5min OHLCVA,Σvolume(time>=14:00 and bar close<bar open) / Σvolume,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_LATE_DAY_PRESSURE,FEATURE,"尾盘下跌量占比 (ME04 canonical, 模型表 PRIMARY)"
late_day_sell_amount_ratio,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),ME04 金额替代表达 (模型表 SENSITIVITY),D1_LATE_DAY_PRESSURE,derived,5min OHLCVA,Σamount(time>=14:00 and bar close<bar open) / Σamount,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_LATE_DAY_PRESSURE,FEATURE,ME04 金额替代表达 (模型表 SENSITIVITY)
d1_close_to_vwap_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"D1 收盘相对日内成本线 (ME05 canonical, 模型表 PRIMARY)",D1_VWAP_POSITION,derived,d1_close;d1_vwap,d1_close / d1_vwap - 1,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_VWAP_POSITION,FEATURE,"D1 收盘相对日内成本线 (ME05 canonical, 模型表 PRIMARY)"
d1_close_to_ma5_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),close/ma5 - 1 (模型表 PRIMARY),D1_MA_POSITION,derived,daily close,d1_close / ma5(D1) - 1,MA5 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,close/ma5 - 1 (模型表 PRIMARY)
d1_low_to_ma5_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),low/ma5 - 1 (模型表 PRIMARY),D1_MA_POSITION,derived,daily close,d1_low / ma5(D1) - 1,MA5 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,low/ma5 - 1 (模型表 PRIMARY)
d1_high_to_ma5_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),high/ma5 - 1 (模型表 SENSITIVITY),D1_MA_POSITION,derived,daily close,d1_high / ma5(D1) - 1,MA5 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,high/ma5 - 1 (模型表 SENSITIVITY)
d1_close_to_ma10_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),close/ma10 - 1 (模型表 PRIMARY),D1_MA_POSITION,derived,daily close,d1_close / ma10(D1) - 1,MA10 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,close/ma10 - 1 (模型表 PRIMARY)
d1_low_to_ma10_raw,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),low/ma10 - 1 (模型表 SENSITIVITY),D1_MA_POSITION,derived,daily close,d1_low / ma10(D1) - 1,MA10 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,low/ma10 - 1 (模型表 SENSITIVITY)
d1_close_to_ma20,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),close/ma20 - 1 (模型表 PRIMARY),D1_MA_POSITION,derived,daily close,d1_close / ma20(D1) - 1,MA20 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,close/ma20 - 1 (模型表 PRIMARY)
d1_ma5_slope,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),MA5 1 日变化率 (模型表 PRIMARY),D1_MA_POSITION,derived,daily close,ma5(D1) / ma5(D1 前一日) - 1,MA5 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,MA5 1 日变化率 (模型表 PRIMARY)
d1_ma10_slope,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),MA10 1 日变化率 (模型表 PRIMARY),D1_MA_POSITION,derived,daily close,ma10(D1) / ma10(D1 前一日) - 1,MA10 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,MA10 1 日变化率 (模型表 PRIMARY)
d1_ma20_slope,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"MA20 slope (DEFER 提升; D1_CLOSE 可得, 定义稳定)",D1_MA_POSITION,derived,daily close,ma20(D1) / ma20(D1 前一日) - 1,MA20 window,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,"MA20 slope (DEFER 提升; D1_CLOSE 可得, 定义稳定)"
d1_close_above_ma5,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),ME06 canonical 二元项 (模型表 SENSITIVITY),D1_MA_POSITION,derived,daily close,1[d1_close >= ma5(D1)],MA5 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,ME06 canonical 二元项 (模型表 SENSITIVITY)
d1_close_above_ma10,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),ME07 canonical 二元项 (模型表 SENSITIVITY),D1_MA_POSITION,derived,daily close,1[d1_close >= ma10(D1)],MA10 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,ME07 canonical 二元项 (模型表 SENSITIVITY)
d1_true_reclaim_ma5,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),下探收回 MA5 (模型表 PRIMARY),D1_MA_POSITION,derived,daily close,1[d1_low <= ma5(D1) and d1_close >= ma5(D1)],MA5 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,下探收回 MA5 (模型表 PRIMARY)
d1_true_reclaim_ma10,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),下探收回 MA10 (模型表 SENSITIVITY),D1_MA_POSITION,derived,daily close,1[d1_low <= ma10(D1) and d1_close >= ma10(D1)],MA10 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,下探收回 MA10 (模型表 SENSITIVITY)
consecutive_days_below_ma5,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),ME06 替代 (模型表 SENSITIVITY),D1_MA_POSITION,derived,daily close,signal_date(含)向前 close < ma5 的连续天数,MA5 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,ME06 替代 (模型表 SENSITIVITY)
consecutive_days_below_ma10,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),ME07 替代 (模型表 SENSITIVITY),D1_MA_POSITION,derived,daily close,signal_date(含)向前 close < ma10 的连续天数,MA10 window,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_MA_POSITION,FEATURE,ME07 替代 (模型表 SENSITIVITY)
break_day_in_pool,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"D1 断板日是否出现在涨停池 (正常 False, 模型表 PRIMARY)",POOL_MEMBERSHIP,derived,pool membership,1[code in pool(D1=break_date)],D1,D1_CLOSE,pool_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,POOL_MEMBERSHIP,FEATURE,"D1 断板日是否出现在涨停池 (正常 False, 模型表 PRIMARY)"
last_board_day_in_pool,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),末板日是否在涨停池 (模型表 SENSITIVITY),POOL_MEMBERSHIP,derived,pool membership,1[code in pool(D0=末板日)],D0,D0_CLOSE,pool_cache_rebuild,0.958904109589041,1.0,0.9811912225705329,no,0,0,0,,POOL_MEMBERSHIP,FEATURE,末板日是否在涨停池 (模型表 SENSITIVITY)
pool_consecutive_count_last_board,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"池口径连板数 (模型表 SENSITIVITY, 与 board_streak 交叉核对)",POOL_MEMBERSHIP,derived,pool membership,pool(D0) consecutive_limit_up_count,D0,D0_CLOSE,pool_cache_rebuild,0.952054794520548,0.9653179190751445,0.9592476489028213,no,0,0,0,,POOL_MEMBERSHIP,FEATURE,"池口径连板数 (模型表 SENSITIVITY, 与 board_streak 交叉核对)"
recent_7d_cumulative_return,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),最近 7 交易日累计涨幅 (模型表 PRIMARY),RECENT_7D_PATH,derived,daily close,close(D1) / close(T-6) - 1,7d,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,RECENT_7D_PATH,FEATURE,最近 7 交易日累计涨幅 (模型表 PRIMARY)
recent_7d_max_drawdown,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"7 日窗口自峰值到后续低点最大回撤 (严格时序, 仅 <=D1 数据)",RECENT_7D_PATH,derived,daily OHLC,"max_{t∈[T-5..D1]} max(0, (prior_peak_t - low_t)/prior_peak_t); prior_peak_t=max(high_s), s<t",7d,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,RECENT_7D_PATH,FEATURE,"7 日窗口自峰值到后续低点最大回撤 (严格时序, 仅 <=D1 数据)"
recent_7d_close_position,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 收盘在 7 日区间的位置 (模型表 PRIMARY),RECENT_7D_PATH,derived,daily close,(close(D1) - 7d_low) / (7d_high - 7d_low),7d,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,RECENT_7D_PATH,FEATURE,D1 收盘在 7 日区间的位置 (模型表 PRIMARY)
recent_7d_limit_up_count,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"近 7 日涨停次数 (DEFER 提升; D1_CLOSE 可得, 定义稳定)",RECENT_7D_PATH,derived,daily OHLCVA,7 窗口 (T-6..D1) 内日线涨停天数之和,7d,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,RECENT_7D_PATH,FEATURE,"近 7 日涨停次数 (DEFER 提升; D1_CLOSE 可得, 定义稳定)"
CLOSE_DAMAGE,workflow v004c candidate inventory,,,,,repair-state CLOSE_DAMAGE 综合,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state CLOSE_DAMAGE 综合
DAMAGE7,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
DIVERGENCE,workflow v004c candidate inventory,,,,,repair-state DIVERGENCE 综合,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state DIVERGENCE 综合
DIVERGENCE_SQ,workflow v004c candidate inventory,,,,,repair-state 非线性变换,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 非线性变换
DIVERGENCE_X_DAMAGE,workflow v004c candidate inventory,,,,,repair-state 交互项,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 交互项
DIVERGENCE_X_RECLAIM,workflow v004c candidate inventory,,,,,repair-state 交互项,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 交互项
DIVERGENCE_X_SUPPLY,workflow v004c candidate inventory,,,,,repair-state 交互项,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 交互项
HIGHZONE,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
LATESELL,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
MOM7,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
OPEN,workflow v004c candidate inventory,,,,,repair-state 核心因子 (标准化合成分),,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 核心因子 (标准化合成分)
POS7,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
RECLAIM,workflow v004c candidate inventory,,,,,repair-state RECLAIM 综合,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state RECLAIM 综合
REGIME,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
RESET,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
SUPPLY,workflow v004c candidate inventory,,,,,repair-state SUPPLY 综合,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state SUPPLY 综合
TREND,workflow v004c candidate inventory,,,,,repair-state 因子,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state 因子
TURNOVER_COST,workflow v004c candidate inventory,,,,,repair-state TURNOVER_COST 综合,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,repair-state TURNOVER_COST 综合
board_day_amount_rank,workflow v004c candidate inventory,,,,,"pool amount 在 2026-05-06..06-04 全 NaN (daily_limitup_derived), daily amount 全 NaN (0/463902), 无法确定性重建 May 窗口 -> 排除",,,,,,,,0,0,0,,,EXCLUDE_SOURCE_UNAVAILABLE,"pool amount 在 2026-05-06..06-04 全 NaN (daily_limitup_derived), daily amount 全 NaN (0/463902), 无法确定性重建 May 窗口 -> 排除"
board_day_turnover_rank,workflow v004c candidate inventory,,,,,"pool turnover_rate 在 2026-05-06..06-04 全 NaN, daily turnover_rate 全 NaN, 无法确定性重建 May 窗口 -> 排除",,,,,,,,0,0,0,,,EXCLUDE_SOURCE_UNAVAILABLE,"pool turnover_rate 在 2026-05-06..06-04 全 NaN, daily turnover_rate 全 NaN, 无法确定性重建 May 窗口 -> 排除"
board_stage_volume_price_decomposition,workflow v004c candidate inventory,,,,,"提案未实现; 逐阶段量价重建复杂, 数据质量不稳定",,,,,,,,0,0,0,,,PENDING_EVIDENCE,"提案未实现; 逐阶段量价重建复杂, 数据质量不稳定"
board_streak_before_break,workflow v004c candidate inventory,,,,,"身份列, 只经派生 board_streak_is_3 进入模型",,,,,,,,0,0,0,,,IDENTIFIER,"身份列, 只经派生 board_streak_is_3 进入模型"
break_amount,workflow v004c candidate inventory,,,,,ED09: 与 d1_amount 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED09: 与 d1_amount 精确重复
break_amount_ratio_vs_board_days,workflow v004c candidate inventory,,,,,"分母 mean(board 日 amount) 在 May 窗口不可得 (daily amount 全 NaN, pool amount 5 月 NaN) -> 排除",,,,,,,,0,0,0,,,EXCLUDE_SOURCE_UNAVAILABLE,"分母 mean(board 日 amount) 在 May 窗口不可得 (daily amount 全 NaN, pool amount 5 月 NaN) -> 排除"
break_close,workflow v004c candidate inventory,,,,,ED04: 与 d1_close 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED04: 与 d1_close 精确重复
break_close_location,workflow v004c candidate inventory,,,,,ED07: 与 d1_close_location 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED07: 与 d1_close_location 精确重复
break_date,workflow v004c candidate inventory,,,,,与 signal_date 逐行一致 (D1 identity),,,,,,,,0,0,0,,,AUDIT_ONLY,与 signal_date 逐行一致 (D1 identity)
